HCHO Reading,Location,Current Date,Next Date
0.0001617020217739,"Deniyaya, Matara",2020-02-10,2020-02-11
0.0001742292469876,"Deniyaya, Matara",2020-02-11,2020-02-12
0.0002540055798295,"Deniyaya, Matara",2020-02-12,2020-02-13
3.371115622175777e-05,"Deniyaya, Matara",2020-02-13,2020-02-14
,"Deniyaya, Matara",2020-02-14,2020-02-15
,"Deniyaya, Matara",2020-02-15,2020-02-16
0.0001794127728646,"Deniyaya, Matara",2020-02-16,2020-02-17
0.0002209353604297,"Deniyaya, Matara",2020-02-17,2020-02-18
6.674241804341922e-05,"Deniyaya, Matara",2020-02-18,2020-02-19
0.0001222466447894,"Deniyaya, Matara",2020-02-19,2020-02-20
8.883904957213684e-05,"Deniyaya, Matara",2020-02-20,2020-02-21
-1.5101279314800582e-05,"Deniyaya, Matara",2020-02-21,2020-02-22
,"Deniyaya, Matara",2020-02-22,2020-02-23
0.0001415435780818,"Deniyaya, Matara",2020-02-23,2020-02-24
6.469066327585497e-05,"Deniyaya, Matara",2020-02-24,2020-02-25
2.3133790736772745e-05,"Deniyaya, Matara",2020-02-25,2020-02-26
6.435616459262533e-05,"Deniyaya, Matara",2020-02-26,2020-02-27
0.0001474108560456,"Deniyaya, Matara",2020-02-27,2020-02-28
7.261802893327325e-05,"Deniyaya, Matara",2020-02-28,2020-02-29
